Tag,0,1,2,3,4,5,6,7,8,9
0,0.075020313,0.029251929,0.119370334,0.038792945,0.180999937,0.00736238,25.23309793,9.132778319,0.681079255,0.681079255
0,0.063920781,0.020014828,0.101709053,0.028710015,0.176101605,0.005913181,22.35509575,8.288730499,0.667202292,0.667202292
0,0.121277794,0.126441985,0.192973986,0.260401636,0.007883219,0.01138204,28.67990277,8.627488638,0.705523157,0.705523157
0,0.012829995,0.012511448,0.020414732,0.019943573,0.006135235,0.008371075,4.002758958,2.093105903,0.728448708,0.728448708
0,0.063624293,0.05085852,0.101237282,0.083971098,0.005699254,0.007769067,24.29419688,8.110798054,0.700489899,0.700489899
0,0.049016602,0.03360644,0.077993922,0.052251458,0.141101416,0.008792915,19.41163652,6.505351021,0.691207028,0.691207028
0,0.193866432,0.075208791,0.308475256,0.109355897,0.467957148,0.010209975,36.43525888,9.649378059,0.67487092,0.67487092
0,0.137275249,0.070241012,0.218428716,0.100968517,0.357849782,0.165761553,34.5209504,15.2165433,0.666271093,0.666271093
1,0.270932466,0.27685672,0.431100577,0.413627595,0.349271365,0.010667994,58.77956847,12.48776351,0.652396388,0.652396388
1,0.34519282,0.31779319,0.54926163,0.565207601,0.007348786,0.01038928,53.59577371,12.46180196,0.66910952,0.66910952
0,0.080619566,0.056064285,0.12827976,0.085440129,0.007429731,0.010128549,22.75443133,6.897318822,0.698837092,0.698837092
0,0.038929597,0.009925853,0.061943755,0.021052387,0.007553399,0.012412375,9.669014844,3.806256333,0.682254521,0.682254521
0,0.001886559,0.009606448,0.003001809,0.017670671,0.009393669,0.015795242,2.574630665,1.316742738,0.857807603,0.857807603
0,0.001684952,0.00917333,0.002681062,0.016004253,0.008979035,0.015216087,2.512050097,1.316742738,0.764698159,0.764698159
0,0.001845066,0.009297893,0.002935782,0.0161609,0.009226787,0.015935631,2.553426881,1.316742738,0.838140993,0.838140993
0,0.010841458,0.008223274,0.017250657,0.009829646,0.008201744,0.01386161,5.110748862,1.846411052,0.780637006,0.780637006
0,0.010642245,0.007880271,0.016933665,0.011730934,0.007553417,0.012108629,6.344325166,2.659052831,0.683973962,0.683973962
0,0.014937388,0.006090268,0.023767974,0.019926134,0.004847483,0.008860984,6.202685921,5.471227328,0.718744672,0.718744672
0,0.206980467,0.093963005,0.329341918,0.148987174,0.348644499,0.155446489,33.89868109,9.491115496,0.657542472,0.657542472
0,0.037213776,0.048193898,0.05921359,0.070361741,0.249639584,0.007208047,19.66696003,10.21765818,0.725182998,0.725182998
0,0.085484043,0.016384406,0.13601993,0.025641372,0.3578739,0.005744472,22.58528234,11.68644668,0.674795925,0.674795925
0,0.074755676,0.047794975,0.118949279,0.091426462,0.074821038,0.181484047,12.70310104,4.26026513,0.691714256,0.691714256
0,0.112510771,0.066762477,0.17902416,0.15746966,0.358473186,0.007948378,30.67657334,11.74087968,0.664313901,0.664313901
0,0.0502479,0.045414202,0.079953112,0.10423632,0.009460054,0.01456657,19.5858369,5.035486617,0.719557264,0.719557264
0,0.012137717,0.015818566,0.019313246,0.024986684,0.273074697,0.013448548,4.632096035,2.252731942,0.745114095,0.745114095
0,0.060068071,0.028313665,0.095578745,0.060063217,0.009460084,0.01867664,10.96990259,2.769057003,0.72889769,0.72889769
0,0.096639305,0.031127656,0.153769925,0.04482054,0.196575843,0.00787775,19.37651946,8.635142548,0.668538431,0.668538431
